trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
43,False,"{'a': 0.5, 'e': 0.7849999999999998}",25,0,-116.80210604001046,"{0: 16, 1: 1, 2: 4, 3: 3, 4: 1}",0
44,False,"{'a': 0.5, 'e': 0.7799999999999998}",20,0,-26.3225044992071,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
45,False,"{'a': 0.5, 'e': 0.7749999999999998}",20,8,-20.63524304204467,"{0: 8, 1: 1, 2: 3, 3: 0, 4: 0}",1
46,False,"{'a': 0.5, 'e': 0.7699999999999998}",20,0,-54.20030336846255,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
47,False,"{'a': 0.5, 'e': 0.7649999999999998}",25,0,-153.5675507823284,"{0: 12, 1: 4, 2: 7, 3: 0, 4: 2}",0
48,False,"{'a': 0.5, 'e': 0.7599999999999998}",25,4,-167.5213918524452,"{0: 11, 1: 2, 2: 3, 3: 3, 4: 2}",1
49,False,"{'a': 0.5, 'e': 0.7549999999999998}",25,17,13.622843494096813,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
50,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-79.17289135186681,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
51,False,"{'a': 0.5, 'e': 0.7449999999999998}",20,0,-55.98777220839232,"{0: 13, 1: 5, 2: 1, 3: 0, 4: 1}",0
52,False,"{'a': 0.5, 'e': 0.7399999999999998}",25,3,-98.5093299901179,"{0: 14, 1: 1, 2: 5, 3: 1, 4: 1}",1
53,False,"{'a': 0.5, 'e': 0.7349999999999998}",20,0,-40.252178665741305,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
54,False,"{'a': 0.5, 'e': 0.7299999999999998}",20,14,2.9140809799708167,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
55,False,"{'a': 0.5, 'e': 0.7249999999999998}",25,0,-166.04172731921108,"{0: 13, 1: 0, 2: 8, 3: 3, 4: 1}",0
56,False,"{'a': 0.5, 'e': 0.7199999999999998}",25,0,-94.69049579036768,"{0: 17, 1: 3, 2: 2, 3: 2, 4: 1}",0
57,False,"{'a': 0.5, 'e': 0.7149999999999997}",25,0,-143.54325817208482,"{0: 18, 1: 1, 2: 2, 3: 1, 4: 3}",0
58,False,"{'a': 0.5, 'e': 0.7099999999999997}",25,0,-54.214656994687836,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
59,False,"{'a': 0.5, 'e': 0.7049999999999997}",30,6,-126.77228299981164,"{0: 15, 1: 2, 2: 4, 3: 1, 4: 2}",1
60,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-71.77874899268826,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
61,False,"{'a': 0.5, 'e': 0.6949999999999997}",25,0,-74.46126665979679,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 2}",0
62,False,"{'a': 0.5, 'e': 0.6899999999999997}",25,0,-75.29438113629391,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
63,False,"{'a': 0.5, 'e': 0.6849999999999997}",20,0,-150.07712952804604,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 2}",0
64,False,"{'a': 0.5, 'e': 0.6799999999999997}",30,0,-111.27594646848992,"{0: 22, 1: 2, 2: 3, 3: 1, 4: 2}",0
65,False,"{'a': 0.5, 'e': 0.6749999999999997}",20,6,-59.34093916558328,"{0: 8, 1: 4, 2: 1, 3: 0, 4: 1}",1
66,False,"{'a': 0.5, 'e': 0.6699999999999997}",20,3,-87.93973139357097,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 2}",1
67,False,"{'a': 0.5, 'e': 0.6649999999999997}",20,0,-117.1620926165151,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
68,False,"{'a': 0.5, 'e': 0.6599999999999997}",20,0,-102.14345469933656,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
69,False,"{'a': 0.5, 'e': 0.6549999999999997}",25,5,-183.16290733140536,"{0: 10, 1: 3, 2: 3, 3: 0, 4: 4}",1
70,False,"{'a': 0.5, 'e': 0.6499999999999997}",35,5,-108.64830308178173,"{0: 21, 1: 0, 2: 7, 3: 1, 4: 1}",1
71,False,"{'a': 0.5, 'e': 0.6449999999999997}",25,0,-26.22716470652441,"{0: 19, 1: 3, 2: 2, 3: 1, 4: 0}",1
72,False,"{'a': 0.5, 'e': 0.6399999999999997}",20,0,-81.51862818331622,"{0: 12, 1: 0, 2: 6, 3: 2, 4: 0}",0
73,False,"{'a': 0.5, 'e': 0.6349999999999997}",20,0,-92.6583611567105,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
74,False,"{'a': 0.5, 'e': 0.6299999999999997}",20,0,-59.58323685903915,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
75,False,"{'a': 0.5, 'e': 0.6249999999999997}",25,11,-70.26094395697518,"{0: 8, 1: 1, 2: 4, 3: 0, 4: 1}",1
76,False,"{'a': 0.5, 'e': 0.6199999999999997}",20,0,-172.21362097446104,"{0: 12, 1: 3, 2: 1, 3: 0, 4: 4}",0
77,False,"{'a': 0.5, 'e': 0.6149999999999997}",20,11,-4.146113125999648,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
78,False,"{'a': 0.5, 'e': 0.6099999999999997}",25,0,-15.464097923922175,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
79,False,"{'a': 0.5, 'e': 0.6049999999999996}",25,13,-75.99270432510566,"{0: 7, 1: 0, 2: 3, 3: 1, 4: 1}",1
80,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-70.90473416865255,"{0: 12, 1: 3, 2: 3, 3: 2, 4: 0}",0
81,False,"{'a': 0.5, 'e': 0.5949999999999996}",20,1,-17.423609863075143,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 0}",1
82,False,"{'a': 0.5, 'e': 0.5899999999999996}",25,0,-136.15694100530504,"{0: 15, 1: 3, 2: 4, 3: 1, 4: 2}",0
83,False,"{'a': 0.5, 'e': 0.5849999999999996}",20,3,-167.2836859164129,"{0: 8, 1: 1, 2: 5, 3: 0, 4: 3}",1
84,False,"{'a': 0.5, 'e': 0.5799999999999996}",25,0,-47.36918357770383,"{0: 19, 1: 0, 2: 5, 3: 1, 4: 0}",0
85,False,"{'a': 0.5, 'e': 0.5749999999999996}",20,12,15.05560967045265,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
86,False,"{'a': 0.5, 'e': 0.5699999999999996}",25,0,-55.22749727511676,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
87,False,"{'a': 0.5, 'e': 0.5649999999999996}",20,2,-32.129021204073474,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 1}",1
